,Surgeons,NPI,URL,Gender,Surgery Volume,Med School,Med Year,Residency,Certifications,Hospitals,# Death Cases,Death Rate,# Problem Cases,Problem Rate,Combined Score,Avg Review,# of Reviews
10,Dr. Stephen K. Kwan,1518052356,www.checkbook.org/surgeonratings/Lung-Surgery/Stephen-K-Kwan/1518052356/,Male,,New York University,1987,Montefiore Medical Center - Moses Division,Thoracic and Cardiac Surgery,Jackson Hospital (Montgomery);Baptist Medical Center South;,-99,-99.0,21,23.0,-0.3973753520303262,4.331818181818182,44.0
11,Dr. Stanley K. Lochridge,1396791604,www.checkbook.org/surgeonratings/Lung-Surgery/Stanley-K-Lochridge/1396791604/,Male,,University of Alabama,1972,,Thoracic and Cardiac Surgery,St. Vincent's East;,-99,-99.0,19,18.5,-0.9037411035450601,4.559375,64.0
12,Dr. Douglas James Minnich,1730162041,www.checkbook.org/surgeonratings/Lung-Surgery/Douglas-James-Minnich/1730162041/,Male,,Indiana University,1999,Shands Hos U FL,Surgery;Thoracic and Cardiac Surgery,UAB Hospital;,-99,-99.0,65,32.5,0.6716190122785564,4.4,71.0
13,Dr. Barry Douglas Newsom,1043257793,www.checkbook.org/surgeonratings/Lung-Surgery/Barry-Douglas-Newsom/1043257793/,Male,,University of Mississippi,1978,U Miss,Thoracic and Cardiac Surgery,DCH Regional/Northport Medical Center;,-99,-99.0,18,16.2,-1.1625502654303685,4.75,12.0
14,Dr. John Burnie Richardson,1457390981,www.checkbook.org/surgeonratings/Lung-Surgery/John-Burnie-Richardson/1457390981/,Male,,University of South Alabama,1982,,Thoracic and Cardiac Surgery,St. Vincent's Birmingham;St. Vincent's East;,-99,-99.0,44,21.1,-0.6111742248921026,4.95,16.0
15,Dr. Lee Shefton Riggins,1659381291,www.checkbook.org/surgeonratings/Lung-Surgery/Lee-Shefton-Riggins/1659381291/,Male,,University of Alabama,1975,Loyola U Med Ctr,Thoracic and Cardiac Surgery,Princeton Baptist Medical Center;Shelby Baptist Medical Center;,-99,-99.0,23,21.7,-0.543658791356805,4.6875,32.0
16,Dr. Lee Douglass Roberson,1790750065,www.checkbook.org/surgeonratings/Lung-Surgery/Lee-Douglass-Roberson/1790750065/,Male,,University of Alabama,1994,U MI Med Ctr,Thoracic and Cardiac Surgery,East Alabama Medical Center;Princeton Baptist Medical Center;,-99,-99.0,18,53.8,3.0684169027816295,,
17,Dr. Russell Scott Ronson,1982629895,www.checkbook.org/surgeonratings/Lung-Surgery/Russell-Scott-Ronson/1982629895/,Male,,Dartmouth College,1994,,Thoracic and Cardiac Surgery,Brookwood Medical Center;Shelby Baptist Medical Center;Eliza Coffee Memorial Hospital;,-99,-99.0,32,31.2,0.5253355729520776,4.0,44.0
18,Dr. William Ford Simpson,1124074497,www.checkbook.org/surgeonratings/Lung-Surgery/William-Ford-Simpson/1124074497/,Male,,University of Alabama,1982,,Thoracic and Cardiac Surgery,DCH Regional/Northport Medical Center;,-99,-99.0,45,28.3,0.1990109775314715,4.3,68.0
19,Dr. Parvez K. Sultan,1356381685,www.checkbook.org/surgeonratings/Lung-Surgery/Parvez-K-Sultan/1356381685/,Male,,Brown University,1999,,Surgery;Thoracic and Cardiac Surgery,Trinity Medical Center (Birmingham);St. Vincent's Birmingham;St. Vincent's East;,-99,-99.0,38,47.2,2.325747133893354,3.7309523809523806,42.0
20,Dr. Gregory Allen Thomas,1083624357,www.checkbook.org/surgeonratings/Lung-Surgery/Gregory-Allen-Thomas/1083624357/,Male,,Wayne State University,1988,Wayne State University,Surgery;Thoracic and Cardiac Surgery,Shelby Baptist Medical Center;Princeton Baptist Medical Center;Brookwood Medical Center;,70,9.5,68,30.8,0.7890423389735121,4.58448275862069,58.0
21,Dr. Robert Charles Walker,1457318016,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Charles-Walker/1457318016/,Male,,,,,Surgery,Decatur Morgan Hospital;Parkway Medical Center;,-99,-99.0,17,28.9,0.2665264110667691,4.580851063829788,94.0
22,Dr. Kenneth Anthony Ashton,1144214172,www.checkbook.org/surgeonratings/Lung-Surgery/Kenneth-Anthony-Ashton/1144214172/,Male,,Saint Louis University,1991,,Thoracic and Cardiac Surgery,John C. Lincoln Deer Valley Hospital;Osborn Medical Center;Shea Medical Center;Abrazo Arrowhead Campus;John C. Lincoln North Mountain Hospital;Banner Thunderbird Medical Center;St. Joseph's Hospital and Medical Center;Banner Estrella Medical Center;Banner Boswell Medical Center;Banner University Medical Center Phoenix;Flagstaff Medical Center;,-99,-99.0,39,27.9,0.15400068850793938,4.052,25.0
23,Dr. Peter Cheung,1427155027,www.checkbook.org/surgeonratings/Lung-Surgery/Peter-Cheung/1427155027/,Male,,Oral Roberts University,1989,Maricopa Medical Center,Surgery,Yuma Regional Medical Center;,-99,-99.0,35,19.5,-0.7912153809862303,4.634645669291338,127.0
24,Dr. Patrick A. De Valeria,1538144720,www.checkbook.org/surgeonratings/Lung-Surgery/Patrick-A-De-Valeria/1538144720/,Male,,Stanford University,1987,,Thoracic and Cardiac Surgery,Mayo Clinic Hospital;,-99,-99.0,25,17.5,-1.0162668261038899,4.2733333333333325,30.0
25,Dr. Hao Fang,1871522524,www.checkbook.org/surgeonratings/Lung-Surgery/Hao-Fang/1871522524/,Male,,University of Illinois,1991,U Ill/Cook Co Hosp,Thoracic and Cardiac Surgery,Banner University Medical Center Phoenix;Flagstaff Medical Center;John C. Lincoln Deer Valley Hospital;Banner Estrella Medical Center;,-99,-99.0,26,15.3,-1.2638234157333152,4.15,50.0
26,Dr. Andrew Goldstein,1518951284,www.checkbook.org/surgeonratings/Lung-Surgery/Andrew-Goldstein/1518951284/,Male,,Columbia University,1989,Strong Memorial Hospital,Surgery;Thoracic and Cardiac Surgery,Phoenix Baptist Hospital;Shea Medical Center;Osborn Medical Center;Abrazo West Campus;,-99,-99.0,48,38.0,1.29051048635212,3.755,200.0
27,Dr. R. Randall Grace,1598740995,www.checkbook.org/surgeonratings/Lung-Surgery/R-Randall-Grace/1598740995/,Male,,University of Texas-Southwestern,1968,,Thoracic and Cardiac Surgery,John C. Lincoln North Mountain Hospital;Shea Medical Center;,-99,-99.0,15,24.6,-0.21733419593619846,4.454901960784314,51.0
28,Dr. Jasmine L. Huang,1487861241,www.checkbook.org/surgeonratings/Lung-Surgery/Jasmine-L-Huang/1487861241/,Female,,Brown University,2001,,Surgery;Thoracic and Cardiac Surgery,St. Joseph's Hospital and Medical Center;,-99,-99.0,21,37.6,1.2455001973285882,4.655555555555555,18.0
29,Dr. Roger James Hucek,1821094780,www.checkbook.org/surgeonratings/Lung-Surgery/Roger-James-Hucek/1821094780/,Male,,Ohio State University,1973,Luth Med Ctr,Thoracic and Cardiac Surgery,Banner Thunderbird Medical Center;Banner Boswell Medical Center;Abrazo West Campus;,-99,-99.0,20,31.8,0.5928510064873757,4.625,24.0
30,Dr. Dawn E. Jaroszewski,1063479061,www.checkbook.org/surgeonratings/Lung-Surgery/Dawn-E-Jaroszewski/1063479061/,Female,,University of Texas-San Antonio,1998,,Surgery;Thoracic and Cardiac Surgery,Mayo Clinic Hospital;,-99,-99.0,78,20.2,-0.7124473751950495,4.660416666666666,48.0
31,Dr. Samuel Suk Kim,1184771172,www.checkbook.org/surgeonratings/Lung-Surgery/Samuel-Suk-Kim/1184771172/,Male,,Tufts University,2002,,None,Banner-University Medical Center;,-99,-99.0,46,17.7,-0.993761681592124,3.9375,32.0
32,Dr. Elbert Yeung-Wei Kuo,1770669152,www.checkbook.org/surgeonratings/Lung-Surgery/Elbert-Yeung-Wei-Kuo/1770669152/,Male,,Brown University,2001,,Surgery;Thoracic and Cardiac Surgery,St. Joseph's Hospital and Medical Center;,-99,-99.0,31,32.8,0.705376729046205,4.8,161.0
33,Dr. Louis Angel Lanza,1275518557,www.checkbook.org/surgeonratings/Lung-Surgery/Louis-Angel-Lanza/1275518557/,Male,,Loyola University,1981,University of Michigan Hospitals,Thoracic and Cardiac Surgery,Mayo Clinic Hospital;,-99,-99.0,61,18.3,-0.926246248056826,4.281818181818182,22.0
34,Dr. Douglas G. Lowell,1538199971,www.checkbook.org/surgeonratings/Lung-Surgery/Douglas-G-Lowell/1538199971/,Male,,Harvard University,1982,,Surgery;Thoracic and Cardiac Surgery,Tucson Medical Center;Carondelet St. Joseph's Hospital;,126,11.9,121,22.9,0.7068100664342278,3.8759999999999994,50.0
35,Dr. Michael C. Maxwell,1114926300,www.checkbook.org/surgeonratings/Lung-Surgery/Michael-C-Maxwell/1114926300/,Male,,,,Wake Forest U MC,Surgery;Thoracic and Cardiac Surgery,Banner Desert Medical Center;Chandler Regional Medical Center;Banner Heart Hospital;Benefis Healthcare - East Campus;,-99,-99.0,21,26.5,-0.0035353230744221116,4.032291666666667,96.0
36,Dr. Robert D. Riley,1225037328,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-D-Riley/1225037328/,Male,,University of Virginia,1992,,Thoracic and Cardiac Surgery,Shea Medical Center;Osborn Medical Center;Banner Boswell Medical Center;,51,10.6,48,23.0,0.5162206729627854,4.615503875968992,129.0
37,Dr. Luis J. Rosado-Lopez,1235237298,www.checkbook.org/surgeonratings/Lung-Surgery/Luis-J-Rosado-Lopez/1235237298/,Male,,,,,None,Northwest Medical Center (Tucson);Tucson Medical Center;,-99,-99.0,52,27.3,0.08648525497264177,4.328571428571428,49.0
38,Dr. John S. Schor,1568459717,www.checkbook.org/surgeonratings/Lung-Surgery/John-S-Schor/1568459717/,Male,,University of Miami,1987,Jackson Memorial Hospital,Thoracic and Cardiac Surgery,Verde Valley Medical Center;,-99,-99.0,23,19.9,-0.7462050919626986,4.4185185185185185,27.0
39,Dr. Iva A. Smolens,1992794564,www.checkbook.org/surgeonratings/Lung-Surgery/Iva-A-Smolens/1992794564/,Female,,SUNY-Downstate,1990,University of California Davis Medical Center,Thoracic and Cardiac Surgery,Banner Heart Hospital;Banner Desert Medical Center;Chandler Regional Medical Center;Mountain Vista Medical Center;,-99,-99.0,34,19.8,-0.7574576642185813,4.247368421052632,38.0
40,Dr. Darryl G. Stein,1902828825,www.checkbook.org/surgeonratings/Lung-Surgery/Darryl-G-Stein/1902828825/,Male,,Loyola University,1987,,Thoracic and Cardiac Surgery,Banner Heart Hospital;Banner Desert Medical Center;Chandler Regional Medical Center;Flagstaff Medical Center;,-99,-99.0,49,20.2,-0.7124473751950495,4.753571428571428,56.0
41,Dr. Pierre R. Tibi,1811926660,www.checkbook.org/surgeonratings/Lung-Surgery/Pierre-R-Tibi/1811926660/,Male,,University of Pittsburgh,1982,,Thoracic and Cardiac Surgery,Yavapai Regional Medical Center - West;,-99,-99.0,28,18.6,-0.8924885312891769,4.676923076923077,13.0
42,Dr. Jose E. Torres,1437368404,www.checkbook.org/surgeonratings/Lung-Surgery/Jose-E-Torres/1437368404/,Male,,Louisiana State University-New Orleans,1955,Charity Hospital,Obstetrics and Gynecology,Iowa Methodist Medical Center;Iowa Lutheran Hospital;Yavapai Regional Medical Center - West;University of Iowa Hospitals and Clinics;,-99,-99.0,13,63.4,4.148663839346396,3.6,32.0
43,Dr. Miguel G. Aguinaga,1427010800,www.checkbook.org/surgeonratings/Lung-Surgery/Miguel-G-Aguinaga/1427010800/,Male,,,,,Surgery;Thoracic and Cardiac Surgery,White County Medical Center;,46,12.5,46,25.9,0.9661597331644957,1.0,1.0
44,Dr. Hugh F. Burnett,1750333985,www.checkbook.org/surgeonratings/Lung-Surgery/Hugh-F-Burnett/1750333985/,Male,,University of Arkansas,1971,U Ark,Thoracic and Cardiac Surgery,Baptist Health Medical Center Little Rock;St. Vincent Infirmary Medical Center;,272,6.8,254,24.2,0.010182581515268824,3.4,18.0
45,Dr. Edgar J. Chauvin,1669471157,www.checkbook.org/surgeonratings/Lung-Surgery/Edgar-J-Chauvin/1669471157/,Male,,University of Arkansas,1987,Hlth Cleveland Corp - Fairview Genl,Surgery;Thoracic and Cardiac Surgery,Mercy Hospital Northwest Arkansas;Conway Regional Medical Center;,-99,-99.0,17,25.2,-0.14981876240090086,4.6385964912280695,57.0
46,Dr. James Stephen Counce,1104805498,www.checkbook.org/surgeonratings/Lung-Surgery/James-Stephen-Counce/1104805498/,Male,,University of Arkansas,1986,U Ark Med Svcs,Surgery;Thoracic and Cardiac Surgery,Northwest Medical Center (Bentonville);Washington Regional Medical Center;,113,3.7,106,25.8,-0.3676957687131211,3.4857142857142853,77.0
47,Dr. John Max Deloach,1740252873,www.checkbook.org/surgeonratings/Lung-Surgery/John-Max-Deloach/1740252873/,Male,,University of Arkansas,1983,,Surgery,Baptist Health Medical Center North Little Rock;,-99,-99.0,27,13.8,-1.4326119995715598,4.7,30.0
48,Dr. Louis Woodrow Elkins,1114993060,www.checkbook.org/surgeonratings/Lung-Surgery/Louis-Woodrow-Elkins/1114993060/,Male,,University of Arkansas,1986,,Surgery;Thoracic and Cardiac Surgery,Baxter Regional Medical Center;,88,10.4,83,33.4,1.0711674026380256,4.5,25.0
49,Dr. Robert C. Jaggers,1639165608,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-C-Jaggers/1639165608/,Male,,University of Texas-Houston,1979,Baylor College of Medicine,Surgery;Thoracic and Cardiac Surgery,Washington Regional Medical Center;Mercy Hospital Fort Smith;Sparks Regional Medical Center;Northwest Medical Center (Bentonville);,-99,-99.0,29,34.8,0.9304281741638645,3.5400000000000005,15.0
50,Dr. Derlis Martino,1811956410,www.checkbook.org/surgeonratings/Lung-Surgery/Derlis-Martino/1811956410/,Male,,,,New York Hospital Medical Center of Queens,None,Baptist Health Medical Center Little Rock;Baptist Health Medical Center North Little Rock;St. Vincent Infirmary Medical Center;,-99,-99.0,38,14.9,-1.308833704756847,4.611111111111111,117.0
51,Dr. David J. Miller,1326117623,www.checkbook.org/surgeonratings/Lung-Surgery/David-J-Miller/1326117623/,Male,,Oklahoma College of Osteopathic Medicine,1991,,None,Sparks Regional Medical Center;Hillcrest Hospital South;,-99,-99.0,18,24.8,-0.1948290514244326,3.5,17.0
52,Dr. Matthew C. Parmley,1346370335,www.checkbook.org/surgeonratings/Lung-Surgery/Matthew-C-Parmley/1346370335/,Male,,University of Oklahoma,2001,,Surgery;Thoracic and Cardiac Surgery,Saint Francis Hospital (Tulsa);,-99,-99.0,28,29.2,0.3002841278344181,4.0196969696969695,66.0
53,Dr. Matthew Allen Steliga,1417121591,www.checkbook.org/surgeonratings/Lung-Surgery/Matthew-Allen-Steliga/1417121591/,Male,,Medical College of Wisconsin,2001,,Surgery;Thoracic and Cardiac Surgery,University of Arkansas for Medical Sciences Medical Center;,-99,-99.0,71,23.0,-0.3973753520303262,4.682608695652173,92.0
54,Dr. Daniel Richard Stevenson,1558366443,www.checkbook.org/surgeonratings/Lung-Surgery/Daniel-Richard-Stevenson/1558366443/,Male,,University of Arkansas,1976,,Thoracic and Cardiac Surgery,St. Bernards Medical Center;,-99,-99.0,39,19.5,-0.7912153809862303,4.5838709677419365,31.0
55,Dr. Rowland P. Vernon,1003825498,www.checkbook.org/surgeonratings/Lung-Surgery/Rowland-P-Vernon/1003825498/,Male,,Vanderbilt University,1970,Vanderbilt University Hospital,Thoracic and Cardiac Surgery,Sparks Regional Medical Center;Mercy Hospital Fort Smith;,-99,-99.0,23,34.1,0.8516601683726841,4.4,10.0
56,Dr. Edward Warren,1184684946,www.checkbook.org/surgeonratings/Lung-Surgery/Edward-Warren/1184684946/,Male,,University of Mississippi,1976,Medical University of South Carolina Medical Ctr,Thoracic and Cardiac Surgery,National Park Medical Center;,-99,-99.0,27,24.4,-0.23983934044796473,4.548,50.0
57,Dr. Russell Hunter Wood,1366421653,www.checkbook.org/surgeonratings/Lung-Surgery/Russell-Hunter-Wood/1366421653/,Male,,University of Arkansas,1983,,Thoracic and Cardiac Surgery,Washington Regional Medical Center;Northwest Medical Center (Bentonville);,-99,-99.0,38,33.8,0.8179024516050347,3.3,7.0
58,Dr. Amir Abolhoda,1891875951,www.checkbook.org/surgeonratings/Lung-Surgery/Amir-Abolhoda/1891875951/,Male,,University of California-Irvine,1988,U Hosp-UNDMJ,Thoracic and Cardiac Surgery,University of California Irvine Medical Center;Orange Coast Memorial Medical Center;Long Beach Memorial Medical Center;,-99,-99.0,25,30.6,0.45782013941678,5.0,6.0
59,Dr. Reginald G. M. Abraham,1720042864,www.checkbook.org/surgeonratings/Lung-Surgery/Reginald-G-M-Abraham/1720042864/,Male,,,,,Thoracic and Cardiac Surgery,Fountain Valley Regional Hospital;Orange Coast Memorial Medical Center;,-99,-99.0,22,22.4,-0.46489078556562424,2.932142857142857,56.0
60,Dr. Peter Thomas Anastassiou,1912904806,www.checkbook.org/surgeonratings/Lung-Surgery/Peter-Thomas-Anastassiou/1912904806/,Male,,Baylor University,1983,Wayne State University,Thoracic and Cardiac Surgery,California Pacific Medical Center;Sutter Santa Rosa Regional Hospital;Seton Medical Center;,-99,-99.0,36,25.8,-0.08230332886560285,4.913207547169811,53.0
61,Dr. Leheb H. Araim,1083623540,www.checkbook.org/surgeonratings/Lung-Surgery/Leheb-H-Araim/1083623540/,Male,,Georgia Health Sciences University,1998,UT - Chattanooga,Thoracic and Cardiac Surgery,Kaweah Delta Hospital;,-99,-99.0,14,15.6,-1.2300656989656664,3.835294117647059,17.0
62,Dr. Abbas Ardehali,1649205576,www.checkbook.org/surgeonratings/Lung-Surgery/Abbas-Ardehali/1649205576/,Male,,Emory University,1986,University of California-San Francisco,Internal Medicine;Thoracic and Cardiac Surgery,Ronald Reagan UCLA Medical Center;,-99,-99.0,12,18.4,-0.9149936758009432,4.641176470588236,34.0
63,Dr. Azmi W. Atiya,1639109648,www.checkbook.org/surgeonratings/Lung-Surgery/Azmi-W-Atiya/1639109648/,Male,,,,,Thoracic and Cardiac Surgery,Northridge Hospital Medical Center;Providence Tarzana Medical Center;West Hills Hospital and Medical Center;Providence Holy Cross Medical Center;Henry Mayo Newhall Memorial Hospital;,-99,-99.0,35,16.5,-1.1287925486627195,4.342105263157895,19.0
64,Dr. Amir Berjis,1316026800,www.checkbook.org/surgeonratings/Lung-Surgery/Amir-Berjis/1316026800/,Male,,Saint Louis University,1999,Kern Medical Center,Surgery;Thoracic and Cardiac Surgery,Mercy Hospitals of Bakersfield;,-99,-99.0,23,5.2,-2.400333213577496,5.0,2.0
65,Dr. Mark Francis Berry,1356508048,www.checkbook.org/surgeonratings/Lung-Surgery/Mark-Francis-Berry/1356508048/,Male,,University of Pennsylvania,1999,,Surgery;Thoracic and Cardiac Surgery,Duke University Hospital;,117,7.3,111,26.4,0.20942844540666763,4.9,199.0
66,Dr. Sharon Bogerty,1023231651,www.checkbook.org/surgeonratings/Lung-Surgery/Sharon-Bogerty/1023231651/,Female,,Stanford Univer,br/>,Stanford Hospitals and Clinics,Thoracic and Cardiac Surgery,O'Connor Hospital;Regional Medical Center of San Jose;,96,10.2,87,26.8,0.669645490563213,3.521875,32.0
67,Dr. Kent A. Brusett,1245234962,www.checkbook.org/surgeonratings/Lung-Surgery/Kent-A-Brusett/1245234962/,Male,,Loma Linda University,1987,Waterbury Hospital,Thoracic and Cardiac Surgery,Shasta Regional Medical Center;Mercy Medical Center Redding;,62,5.0,59,18.9,-0.5596938319417,,
68,Dr. Lamar J. Bushnell,1760582159,www.checkbook.org/surgeonratings/Lung-Surgery/Lamar-J-Bushnell/1760582159/,Male,,University of Utah,1983,U Utah Hosps,Thoracic and Cardiac Surgery,Community Memorial Hospital (Ventura);,-99,-99.0,27,33.5,0.7841447348373861,4.053846153846154,39.0
69,Dr. Robert Brian Cameron,1376578377,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-Brian-Cameron/1376578377/,Male,,University of California-Los Angeles,1984,,Surgery;Thoracic and Cardiac Surgery,Ronald Reagan UCLA Medical Center;Saint John's Health Center;,-99,-99.0,59,23.4,-0.3523650630067945,3.0,8.0
70,Dr. Larry J. Cardoza,1790721322,www.checkbook.org/surgeonratings/Lung-Surgery/Larry-J-Cardoza/1790721322/,Male,,University of California-San Francisco,1966,University of Wisconsin Hospitals and Clinics,Surgery;Thoracic and Cardiac Surgery,Sutter Roseville Medical Center;Mercy San Juan Medical Center;,-99,-99.0,34,17.5,-1.0162668261038899,,
71,Dr. Joseph H. Chammas,1902888522,www.checkbook.org/surgeonratings/Lung-Surgery/Joseph-H-Chammas/1902888522/,Male,,Medical College of Wisconsin,1993,,Thoracic and Cardiac Surgery,Sharp Memorial Hospital;,-99,-99.0,31,23.1,-0.3861227797744431,4.0,2.0
72,Dr. Shigeru Chino,1982604781,www.checkbook.org/surgeonratings/Lung-Surgery/Shigeru-Chino/1982604781/,Male,,University of California-San Francisco,1964,,Surgery,Mission Hospital;Saddleback Memorial Medical Center;,67,5.3,66,23.0,-0.2837355592500873,3.7282608695652173,46.0
73,Dr. Robbin Gerald Cohen,1417972621,www.checkbook.org/surgeonratings/Lung-Surgery/Robbin-Gerald-Cohen/1417972621/,Male,,University of Colorado,1980,,Thoracic and Cardiac Surgery,Huntington Hospital (Pasadena);Keck Hospital of USC;,91,9.6,87,30.9,0.8097621389167906,4.639221556886227,334.0
74,Dr. David Tom Cooke,1831316181,www.checkbook.org/surgeonratings/Lung-Surgery/David-Tom-Cooke/1831316181/,Male,,Harvard University,1999,,Surgery;Thoracic and Cardiac Surgery,UC Davis Medical Center;,-99,-99.0,90,22.9,-0.40862792428620937,4.5,10.0
75,Dr. Elizabeth Ashleigh David,1578714333,www.checkbook.org/surgeonratings/Lung-Surgery/Elizabeth-Ashleigh-David/1578714333/,Female,,Georgetown University,2005,,Surgery;Thoracic and Cardiac Surgery,UC Davis Medical Center;,-99,-99.0,36,21.0,-0.6224267971479857,2.5,8.0
76,Dr. Murali Dharan,1336143882,www.checkbook.org/surgeonratings/Lung-Surgery/Murali-Dharan/1336143882/,Male,,,,,Surgery;Thoracic and Cardiac Surgery,John Muir Medical Center - Concord Campus;San Ramon Regional Medical Center;ValleyCare Medical Center;,-99,-99.0,34,28.2,0.18775840527558837,4.312195121951219,82.0
77,Dr. Costanzo Aldo Diperna,1063436731,www.checkbook.org/surgeonratings/Lung-Surgery/Costanzo-Aldo-Diperna/1063436731/,Male,,Mount Sinai School of Medicine,1998,,Surgery;Thoracic and Cardiac Surgery,Mercy San Juan Medical Center;,175,2.3,174,19.7,-0.9222084159322731,4.6,30.0
78,Dr. Gansevoort Hurlbut Dunnington,1336335140,www.checkbook.org/surgeonratings/Lung-Surgery/Gansevoort-Hurlbut-Dunnington/1336335140/,Male,,Medical College of Virginia,2001,,Surgery;Thoracic and Cardiac Surgery,St. Helena Hospital;El Camino Hospital;Stanford University Hospital;Queen of the Valley Medical Center;,-99,-99.0,40,26.6,0.007717249181461022,4.7318181818181815,22.0
79,Dr. Clark Beeman Fuller,1790890341,www.checkbook.org/surgeonratings/Lung-Surgery/Clark-Beeman-Fuller/1790890341/,Male,,Creighton University,1987,,None,Cedars-Sinai Medical Center;Saint John's Health Center;Torrance Memorial Medical Center;,215,3.1,198,23.0,-0.6157928631875061,4.6,60.0
80,Dr. Lit Keung Fung,1346240264,www.checkbook.org/surgeonratings/Lung-Surgery/Lit-Keung-Fung/1346240264/,Male,,University of California-Los Angeles,1981,,Surgery;Thoracic and Cardiac Surgery,Memorial Medical Center (Modesto);,-99,-99.0,25,15.6,-1.2300656989656664,4.629113924050634,79.0
81,Dr. Ali Gheissari,1376545269,www.checkbook.org/surgeonratings/Lung-Surgery/Ali-Gheissari/1376545269/,Male,,University of Michigan,1983,Hahnemann U,Thoracic and Cardiac Surgery,Good Samaritan Hospital (Los Angeles);St. Vincent Medical Center;Providence Saint Joseph Medical Center;Glendale Adventist Medical Center;Methodist Hospital of Southern California;,-99,-99.0,20,32.7,0.6941241567903226,4.594736842105263,38.0
82,Dr. Robert John Gottner,1295737179,www.checkbook.org/surgeonratings/Lung-Surgery/Robert-John-Gottner/1295737179/,Male,,Columbia University,1988,,Thoracic and Cardiac Surgery,Providence Saint Joseph Medical Center;Methodist Hospital of Southern California;Citrus Valley Medical Center;Good Samaritan Hospital (Los Angeles);,-99,-99.0,16,14.7,-1.3313388492686131,4.077777777777778,18.0
