,Hospital,City,State,ZIP Code,Score,Score URL
19,Providence Hospital-Mobile,Mobile,AL,36608-3785,36.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
20,Grandview Medical Center-Birmingham,Birmingham,AL,35243,34.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
21,St. Vincent's East Hospital,Birmingham,AL,35235-9987,33.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
22,Thomas Hospital,Fairhope,AL,36532-1812,33.5,/best-hospitals/area/co/national-jewish-health-6840315/pulm
23,Springhill Memorial Hospital,Mobile,AL,36608-1798,32.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
24,Shelby Baptist Medical Center,Alabaster,AL,35007-8703,30.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
25,Crestwood Medical Center,Huntsville,AL,35801-3403,28.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
26,Walker Baptist Medical Center,Jasper,AL,35501-8907,26.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
27,Marshall Medical Center South,Boaz,AL,35957-0999,25.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
28,Baptist Medical Center South,Montgomery,AL,36116-2409,25.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
29,Jackson Hospital and Clinic,Montgomery,AL,36106-1117,24.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
30,RMC Anniston,Anniston,AL,36207-4716,21.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
31,Providence Alaska Medical Center,Anchorage,AK,99508-4615,65.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
32,Mayo Clinic-Phoenix,Phoenix,AZ,85054-4502,84.3,"racking-id=""scorecard-specialty-click"" href"
33,Banner University Medical Center Tucson,Tucson,AZ,85724-5128,70.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
34,Banner University Medical Center Phoenix,Phoenix,AZ,85006-2666,69.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
35,Flagstaff Medical Center,Flagstaff,AZ,86001-3118,67.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
36,Banner Estrella Medical Center,Phoenix,AZ,85037-3332,66.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
37,Banner Gateway Medical Center,Gilbert,AZ,85234-1604,62.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
38,Mercy Gilbert Medical Center,Gilbert,AZ,85297-7323,61.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
39,St. Joseph's Hospital and Medical Center,Phoenix,AZ,85013-4496,60.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
40,Banner Boswell Medical Center,Sun City,AZ,85351-3004,59.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
41,Banner Baywood Medical Center,Mesa,AZ,85206-1797,59.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
42,Yuma Regional Medical Center,Yuma,AZ,85364-7170,58.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
43,Chandler Regional Medical Center,Chandler,AZ,85224-6282,56.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
44,Banner Del E. Webb Medical Center,Sun City West,AZ,85375-5299,56.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
45,Banner Desert Medical Center,Mesa,AZ,85202-4707,55.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
46,HonorHealth Deer Valley Medical Center,Phoenix,AZ,85027-4002,54.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
47,Banner Thunderbird Medical Center,Glendale,AZ,85306-4696,52.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
48,Mountain Vista Medical Center,Mesa,AZ,85209-3767,47.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
49,Carondelet St. Joseph's Hospital,Tucson,AZ,85711-2678,47.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
50,TMC Healthcare-Tucson,Tucson,AZ,85712-2874,44.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
51,Kingman Regional Medical Center,Kingman,AZ,86409-3691,43.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
52,HonorHealth John C. Lincoln Medical Center,Phoenix,AZ,85020-2825,42.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
53,Carondelet St. Mary's Hospital,Tucson,AZ,85745-2682,42.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
54,HonorHealth Scottsdale Osborn Medical Center,Scottsdale,AZ,85251-6403,41.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
55,HonorHealth Scottsdale Shea Medical Center,Scottsdale,AZ,85260-6771,41.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
56,Yavapai Regional Medical Center,Prescott,AZ,86301-1668,40.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
57,Canyon Vista Medical Center,Sierra Vista,AZ,85635-9110,39.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
58,Abrazo Arrowhead Campus,Glendale,AZ,85308-7100,25.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
59,Northwest Medical Center-Tucson,Tucson,AZ,85741-3599,19.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
60,CHI St. Vincent Infirmary,Little Rock,AR,72205-5499,58.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
61,St. Bernards Medical Center,Jonesboro,AR,72401-3119,54.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
62,NEA Baptist Memorial Hospital,Jonesboro,AR,72401-8413,53.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
63,Mercy Hospital Rogers,Rogers,AR,72758-1452,50.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
64,North Arkansas Regional Medical Center,Harrison,AR,72601-2911,46.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
65,Unity Health White County Medical Center,Searcy,AR,72143-4810,46.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
66,Mercy Hospital Fort Smith,Fort Smith,AR,72903-4189,46.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
67,Baxter Regional Medical Center,Mountain Home,AR,72653-2955,44.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
68,CHI St. Vincent Hot Springs Hospital,Hot Springs,AR,71913-6406,44.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
69,Washington Regional Medical Center,Fayetteville,AR,72703-4424,44.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
70,Saline Memorial Hospital,Benton,AR,72015-3354,43.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
71,Baptist Health Medical Center-Little Rock,Little Rock,AR,72205-7299,42.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
72,Conway Regional Medical Center,Conway,AR,72034-6297,40.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
73,Sparks Regional Medical Center,Fort Smith,AR,72901-4921,38.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
74,UAMS Medical Center,Little Rock,AR,72205-7101,38.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
75,Baptist Health Medical Center-North Little Rock,North Little Rock,AR,72117-2922,34.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
76,White River Medical Center,Batesville,AR,72501-7303,33.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
77,National Park Medical Center,Hot Springs,AR,71901-7799,30.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
78,Northwest Medical Center-Springdale,Springdale,AR,72764-5394,28.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
79,Jefferson Regional Medical Center,Pine Bluff,AR,71603-6301,24.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
80,UCLA Medical Center,Los Angeles,CA,90095-8358,88.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
81,Cedars-Sinai Medical Center,Los Angeles,CA,90048-1865,87.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
82,UCSF Medical Center,San Francisco,CA,94143-0296,82.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
83,Kaiser Permanente Anaheim and Irvine Medical Centers,Anaheim,CA,92806-2020,79.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
84,Scripps La Jolla Hospitals,La Jolla,CA,92037-1200,78.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
85,UC San Diego Health-Jacobs Medical Center,La Jolla,CA,92037,78.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
86,Stanford Health Care-Stanford Hospital,Stanford,CA,94305,74.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
87,Keck Medical Center of USC,Los Angeles,CA,90033-5313,74.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
88,UC Davis Medical Center,Sacramento,CA,95817-2282,73.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
89,John Muir Health-Walnut Creek Medical Center,Walnut Creek,CA,94598-3194,71.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
90,Mission Hospitals-Mission Viejo and Laguna Beach,Mission Viejo,CA,92691-6474,71.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
91,Hoag Memorial Hospital Presbyterian,Newport Beach,CA,92663-4120,70.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
92,Providence Tarzana Medical Center,Tarzana,CA,91356-3521,70.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
93,UCI Medical Center,Orange,CA,92868-3298,69.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" p"
94,Huntington Memorial Hospital,Pasadena,CA,91105-3097,68.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
95,St. Jude Medical Center,Fullerton,CA,92835-3875,67.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
96,John Muir Health-Concord Medical Center,Concord,CA,94520-1906,67.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
97,Torrance Memorial Medical Center,Torrance,CA,90505-5073,67.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
98,Providence Holy Cross Medical Center,Mission Hills,CA,91345-1207,65.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
99,Kaiser Permanente San Diego Zion and San Diego Medical Center,San Diego,CA,92120-2507,65.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0."
100,MemorialCare Orange Coast Memorial Medical Center,Fountain Valley,CA,92708-5115,64.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
101,Adventist Health-Glendale,Los Angeles,CA,90048,64.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
102,Simi Valley Hospital,Simi Valley,CA,93065-1277,63.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
103,MemorialCare Saddleback Memorial Medical Center,Laguna Hills,CA,92653-3689,63.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
104,Henry Mayo Newhall Hospital,Valencia,CA,91355-2083,63.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
105,Eisenhower Medical Center,Rancho Mirage,CA,92270-3221,63.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
106,El Camino Hospital,Mountain View,CA,94040-4302,63.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
107,Kaiser Permanente South Bay Medical Center,Harbor City,CA,90710-3599,62.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0."
108,St. Joseph Hospital-Orange,Orange,CA,92868-3849,62.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
109,Mills-Peninsula Health Services-Burlingame,Burlingame,CA,94010-3282,62.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
110,MemorialCare Long Beach Medical Center,Long Beach,CA,90806-1701,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
111,Sequoia Hospital,Redwood City,CA,94062-2799,61.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
112,Kaiser Permanente San Francisco Medical Center,San Francisco,CA,94115-3358,61.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
113,Sharp Memorial Hospital,San Diego,CA,92123-2701,61.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
114,Mercy Hospital of Folsom,Folsom,CA,95630-3400,61.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
115,Adventist Health-White Memorial,Los Angeles,CA,90033-2414,61.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
116,Providence St. John's Health Center,Santa Monica,CA,90404-2091,60.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
117,Kaiser Permanente South Sacramento Medical Center,Sacramento,CA,95823-4691,60.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pref"
118,Providence Little Company of Mary Medical Center Torrance,Torrance,CA,90503-4664,60.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
119,Kaiser Permanente Santa Clara Medical Center,Santa Clara,CA,95051-5173,60.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"""
120,Northridge Hospital Medical Center,Northridge,CA,91328-4167,60.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
121,Kaiser Permanente South San Francisco Medical Center,South San Francisco,CA,94080-3208,60.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
122,PIH Health Hospital-Whittier,Whittier,CA,90602-1099,59.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
123,California Pacific Medical Center,San Francisco,CA,94115-1925,59.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
124,Loma Linda University Medical Center,Loma Linda,CA,92354-2804,59.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
125,Kaiser Permanente Baldwin Park Medical Center,Baldwin Park,CA,91706-5806,59.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
126,Scripps Memorial Hospital-Encinitas,Encinitas,CA,92024-5182,59.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
127,Memorial Medical Center-Modesto,Modesto,CA,95355-2869,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
128,PIH Health Hospital-Downey,Downey,CA,90241-4917,58.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
129,Scripps Mercy Hospital,San Diego,CA,92103-2105,58.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
130,Providence St. Joseph Medical Center-Burbank,Burbank,CA,91505-4866,58.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
131,Loma Linda University Medical Center-Murrieta,Murrieta,CA,92563-1401,58.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
132,Enloe Medical Center,Chico,CA,95926-3386,58.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
133,NorthBay Medical Center,Fairfield,CA,94533-3587,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
134,Alta Bates Summit Medical Center-Berkeley,Berkeley,CA,94705-2067,57.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
135,St. Joseph Hospital-Eureka,Eureka,CA,95501-4799,57.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
136,Sutter Roseville Medical Center,Roseville,CA,95661-3037,57.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
137,Sutter Delta Medical Center,Antioch,CA,94509-6253,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
138,Santa Barbara Cottage Hospital,Santa Barbara,CA,93105-4390,56.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
139,Kaiser Permanente San Jose Medical Center,San Jose,CA,95119-1199,55.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
140,Kaiser Permanente Santa Rosa Medical Center,Santa Rosa,CA,95403-2192,55.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
141,Kaiser Permanente Walnut Creek Medical Center,Walnut Creek,CA,94596-5300,55.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
142,Alta Bates Summit Medical Center-Oakland,Oakland,CA,94609-3100,55.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
143,Kaiser Permanente Downey Medical Center,Downey,CA,90242-2812,55.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="
144,Stanford Health Care-ValleyCare,Pleasanton,CA,94588-4000,55.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
145,Kaiser Permanente Sacramento Medical Center,Sacramento,CA,95825-2100,55.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
146,Sutter Medical Center,Sacramento,CA,95816,55.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
147,Kaiser Permanente Los Angeles Medical Center,Los Angeles,CA,90027-5961,55.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"""
148,Santa Clara Valley Medical Center,San Jose,CA,95128-2699,54.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
149,Santa Rosa Memorial Hospital,Santa Rosa,CA,95405-4897,54.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
150,Good Samaritan Hospital-Los Angeles,Los Angeles,CA,90017-2395,54.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
151,Mercy General Hospital,Sacramento,CA,95819-3600,54.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
152,Salinas Valley Memorial Healthcare System,Salinas,CA,93901-4098,53.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
153,Methodist Hospital of Southern California,Arcadia,CA,91007-3473,53.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
154,Zuckerberg San Francisco General Hospital and Trauma Center,San Francisco,CA,94110-3518,53.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pre"
155,Seton Medical Center,Daly City,CA,94015-2229,53.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
156,Sharp Chula Vista Medical Center,Chula Vista,CA,91911-6699,52.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
157,Community Memorial Hospital-Ventura,Ventura,CA,93003-2809,52.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
158,Chino Valley Medical Center,Chino,CA,91710-2672,52.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
159,Queen of the Valley Medical Center,Napa,CA,94558-2906,52.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
160,Palomar Medical Center Escondido,Escondido,CA,92029-4159,52.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
161,Eden Medical Center,Castro Valley,CA,94546-5305,52.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
162,Adventist Health Sonora,Sonora,CA,95370-4819,51.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
163,Mercy San Juan Medical Center,Carmichael,CA,95608-0306,50.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
164,Sharp Grossmont Hospital,La Mesa,CA,91942-3019,50.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
165,Fountain Valley Regional Hospital and Medical Center,Fountain Valley,CA,92708-4043,50.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix="
166,Kaiser Permanente Woodland Hills Medical Center,Woodland Hills,CA,91367-6798,50.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pr"
167,Sutter Santa Rosa Regional Hospital,Santa Rosa,CA,95403,50.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
168,USC Verdugo Hills Hospital,Glendale,CA,91208-1409,49.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
169,Methodist Hospital of Sacramento,Sacramento,CA,95823-5477,49.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
170,Community Hospital of the Monterey Peninsula,Monterey,CA,93940-5902,49.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
171,Kaiser Permanente Fontana and Ontario Medical Centers,Fontana,CA,92335-6794,49.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
172,Kaiser Permanente Antioch Medical Center,Antioch,CA,94531-8687,49.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
173,Kaiser Permanente Roseville Medical Center,Roseville,CA,95661-3027,49.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
174,Kaiser Permanente Vallejo Medical Center,Vallejo,CA,94589-2441,48.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
175,St. Mary Medical Center-Long Beach,Long Beach,CA,90813-3321,48.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
176,Arrowhead Regional Medical Center,Colton,CA,92324-1819,48.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
177,Kaiser Permanente West Los Angeles Medical Center,Los Angeles,CA,90034-1700,48.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pref"
178,Kaiser Permanente Oakland and Richmond Medical Centers,Oakland,CA,94611-5693,48.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
179,Kaiser Permanente Riverside Medical Center,Riverside,CA,92505-3000,48.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0."
180,Adventist Health Bakersfield,Bakersfield,CA,93301-2014,48.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
181,Hollywood Presbyterian Medical Center,Los Angeles,CA,90027-6306,47.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
182,St. Agnes Medical Center,Fresno,CA,93720-3397,47.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
183,San Gabriel Valley Medical Center,San Gabriel,CA,91776-1216,47.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
184,Marin General Hospital,Greenbrae,CA,94904-1784,46.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
185,Kaweah Delta Medical Center,Visalia,CA,93291-6263,46.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
186,Kaiser Permanente Redwood City Medical Center,Redwood City,CA,94063-2087,46.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
187,O'Connor Hospital-San Jose,San Jose,CA,95128-1471,46.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
188,Kaiser Permanente San Rafael Medical Center,San Rafael,CA,94903-3397,45.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
189,Palomar Medical Center Poway,Poway,CA,92064-2460,45.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
190,Pomona Valley Hospital Medical Center,Pomona,CA,91767-2918,45.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
